pair_id,base_id,op_family,split,base_agree,base_detail,counter_agree,counter_detail,irrelevant_agree,irrelevant_detail,text_absent,trichotomy_distinct,answers_disjoint,mutation_distance_ok,anchors_ordered,semantics_agree,verified
base_0005_add,base_0005,add,test,True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,True,True,True,True,True,True
base_0005_sub_from,base_0005,sub_from,test,True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,True,True,True,True,True,True
base_0005_double_sub,base_0005,double_sub,test,True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,True,True,True,True,True,True
base_0005_mod,base_0005,mod,test,True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,True,True,True,True,True,True
base_0006_add,base_0006,add,test,True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,True,True,True,True,True,True
base_0006_sub_from,base_0006,sub_from,test,True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,True,True,True,True,True,True
base_0006_mod,base_0006,mod,test,True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,True,True,True,True,True,True
base_0007_sub_from,base_0007,sub_from,calib,True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,True,True,True,True,True,True
base_0007_double_sub,base_0007,double_sub,calib,True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,True,True,True,True,True,True
base_0007_mod,base_0007,mod,calib,True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,True,True,True,True,True,True
base_0008_add,base_0008,add,calib,True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,True,True,True,True,True,True
base_0008_sub_from,base_0008,sub_from,calib,True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,True,True,True,True,True,True
base_0008_mod,base_0008,mod,calib,True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,True,True,True,True,True,True
base_0009_add,base_0009,add,calib,True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,True,True,True,True,True,True
base_0009_sub_from,base_0009,sub_from,calib,True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,True,True,True,True,True,True
base_0009_mod,base_0009,mod,calib,True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,True,True,True,True,True,True
base_0010_add,base_0010,add,test,True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,True,True,True,True,True,True
base_0010_sub_from,base_0010,sub_from,test,True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,True,True,True,True,True,True
base_0010_mod,base_0010,mod,test,True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,True,True,True,True,True,True
base_0011_add,base_0011,add,test,True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,True,True,True,True,True,True
base_0011_sub_from,base_0011,sub_from,test,True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,True,True,True,True,True,True
base_0011_mod,base_0011,mod,test,True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,True,True,True,True,True,True
base_0012_add,base_0012,add,test,True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,True,True,True,True,True,True
base_0012_sub_from,base_0012,sub_from,test,True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,True,True,True,True,True,True
base_0012_mod,base_0012,mod,test,True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,True,True,True,True,True,True
base_0013_add,base_0013,add,test,True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,True,True,True,True,True,True
base_0013_sub_from,base_0013,sub_from,test,True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,True,True,True,True,True,True
base_0013_double_sub,base_0013,double_sub,test,True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,True,True,True,True,True,True
base_0013_mod,base_0013,mod,test,True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,True,True,True,True,True,True
base_0014_add,base_0014,add,test,True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,True,True,True,True,True,True
base_0014_sub_from,base_0014,sub_from,test,True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,True,True,True,True,True,True
base_0014_mod,base_0014,mod,test,True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,True,True,True,True,True,True
base_0015_add,base_0015,add,test,True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,True,True,True,True,True,True
base_0015_sub_from,base_0015,sub_from,test,True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,True,True,True,True,True,True
base_0015_mod,base_0015,mod,test,True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,True,True,True,True,True,True
base_0016_sub_from,base_0016,sub_from,calib,True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,True,True,True,True,True,True
base_0016_double_sub,base_0016,double_sub,calib,True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,True,True,True,True,True,True
base_0016_mod,base_0016,mod,calib,True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,True,True,True,True,True,True
base_0017_add,base_0017,add,test,True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,True,True,True,True,True,True
base_0017_sub_from,base_0017,sub_from,test,True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,True,True,True,True,True,True
base_0017_double_sub,base_0017,double_sub,test,True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,True,True,True,True,True,True
base_0017_mod,base_0017,mod,test,True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,True,True,True,True,True,True
base_0018_add,base_0018,add,test,True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,True,True,True,True,True,True
base_0018_sub_from,base_0018,sub_from,test,True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,True,True,True,True,True,True
base_0018_mod,base_0018,mod,test,True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,True,True,True,True,True,True
base_0019_add,base_0019,add,test,True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,True,True,True,True,True,True
base_0019_sub_from,base_0019,sub_from,test,True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,True,True,True,True,True,True
base_0019_double_sub,base_0019,double_sub,test,True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,True,True,True,True,True,True
base_0019_mod,base_0019,mod,test,True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,True,True,True,True,True,True
base_0020_add,base_0020,add,test,True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,True,True,True,True,True,True
base_0020_double_sub,base_0020,double_sub,test,True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,True,True,True,True,True,True
base_0020_mod,base_0020,mod,test,True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,True,True,True,True,True,True
base_0021_add,base_0021,add,calib,True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,True,True,True,True,True,True
base_0021_double_sub,base_0021,double_sub,calib,True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,True,True,True,True,True,True
base_0021_mod,base_0021,mod,calib,True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,True,True,True,True,True,True
base_0022_add,base_0022,add,test,True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,True,True,True,True,True,True
base_0022_sub_from,base_0022,sub_from,test,True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,True,True,True,True,True,True
base_0022_double_sub,base_0022,double_sub,test,True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,True,True,True,True,True,True
base_0023_add,base_0023,add,test,True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,True,True,True,True,True,True
base_0023_sub_from,base_0023,sub_from,test,True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,True,True,True,True,True,True
base_0023_mod,base_0023,mod,test,True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,True,True,True,True,True,True
base_0024_add,base_0024,add,test,True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,True,True,True,True,True,True
base_0024_sub_from,base_0024,sub_from,test,True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,True,True,True,True,True,True
base_0024_mod,base_0024,mod,test,True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,True,True,True,True,True,True
base_0025_sub_from,base_0025,sub_from,test,True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,True,True,True,True,True,True
base_0025_double_sub,base_0025,double_sub,test,True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,True,True,True,True,True,True
base_0025_mod,base_0025,mod,test,True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,True,True,True,True,True,True
base_0026_add,base_0026,add,calib,True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,True,True,True,True,True,True
base_0026_sub_from,base_0026,sub_from,calib,True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,True,True,True,True,True,True
base_0026_double_sub,base_0026,double_sub,calib,True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,True,True,True,True,True,True
base_0026_mod,base_0026,mod,calib,True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,True,True,True,True,True,True
base_0027_add,base_0027,add,test,True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,True,True,True,True,True,True
base_0027_sub_from,base_0027,sub_from,test,True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,True,True,True,True,True,True
base_0027_mod,base_0027,mod,test,True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,True,True,True,True,True,True
base_0028_add,base_0028,add,test,True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,True,True,True,True,True,True
base_0028_sub_from,base_0028,sub_from,test,True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,True,True,True,True,True,True
base_0028_mod,base_0028,mod,test,True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,True,True,True,True,True,True
base_0029_add,base_0029,add,test,True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,True,True,True,True,True,True
base_0029_sub_from,base_0029,sub_from,test,True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,True,True,True,True,True,True
base_0029_mod,base_0029,mod,test,True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,True,True,True,True,True,True
base_0030_add,base_0030,add,calib,True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,True,True,True,True,True,True
base_0030_sub_from,base_0030,sub_from,calib,True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,True,True,True,True,True,True
base_0030_mod,base_0030,mod,calib,True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,True,True,True,True,True,True
base_0031_add,base_0031,add,test,True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,True,True,True,True,True,True
base_0031_sub_from,base_0031,sub_from,test,True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,True,True,True,True,True,True
base_0031_mod,base_0031,mod,test,True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,True,True,True,True,True,True
base_0032_add,base_0032,add,calib,True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,True,True,True,True,True,True
base_0032_sub_from,base_0032,sub_from,calib,True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,True,True,True,True,True,True
base_0032_mod,base_0032,mod,calib,True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,True,True,True,True,True,True
base_0033_add,base_0033,add,test,True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,True,True,True,True,True,True
base_0033_sub_from,base_0033,sub_from,test,True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,True,True,True,True,True,True
base_0033_mod,base_0033,mod,test,True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,True,True,True,True,True,True
base_0034_add,base_0034,add,test,True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,True,True,True,True,True,True
base_0034_sub_from,base_0034,sub_from,test,True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,True,True,True,True,True,True
base_0034_double_sub,base_0034,double_sub,test,True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,True,True,True,True,True,True
base_0034_mod,base_0034,mod,test,True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,True,True,True,True,True,True
base_0035_add,base_0035,add,test,True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,True,True,True,True,True,True
base_0035_double_sub,base_0035,double_sub,test,True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,True,True,True,True,True,True
base_0035_mod,base_0035,mod,test,True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,True,True,True,True,True,True
base_0036_add,base_0036,add,test,True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,True,True,True,True,True,True
base_0036_sub_from,base_0036,sub_from,test,True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,True,True,True,True,True,True
base_0036_double_sub,base_0036,double_sub,test,True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,True,True,True,True,True,True
base_0037_add,base_0037,add,test,True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,True,True,True,True,True,True
base_0037_sub_from,base_0037,sub_from,test,True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,True,True,True,True,True,True
base_0037_mod,base_0037,mod,test,True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,True,True,True,True,True,True
base_0038_add,base_0038,add,test,True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,True,True,True,True,True,True
base_0038_sub_from,base_0038,sub_from,test,True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,True,True,True,True,True,True
base_0038_mod,base_0038,mod,test,True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,True,True,True,True,True,True
base_0039_add,base_0039,add,calib,True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,True,True,True,True,True,True
base_0039_sub_from,base_0039,sub_from,calib,True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,True,True,True,True,True,True
base_0039_double_sub,base_0039,double_sub,calib,True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,True,True,True,True,True,True
base_0039_mod,base_0039,mod,calib,True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,True,True,True,True,True,True
base_0040_add,base_0040,add,test,True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,True,True,True,True,True,True
base_0040_sub_from,base_0040,sub_from,test,True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,True,True,True,True,True,True
base_0040_double_sub,base_0040,double_sub,test,True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,True,True,True,True,True,True
base_0040_mod,base_0040,mod,test,True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,True,True,True,True,True,True
base_0041_add,base_0041,add,calib,True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,True,True,True,True,True,True
base_0041_sub_from,base_0041,sub_from,calib,True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,True,True,True,True,True,True
base_0041_mod,base_0041,mod,calib,True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,True,True,True,True,True,True
base_0042_add,base_0042,add,test,True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,True,True,True,True,True,True
base_0042_sub_from,base_0042,sub_from,test,True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,True,True,True,True,True,True
base_0042_mod,base_0042,mod,test,True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,True,True,True,True,True,True
base_0043_sub_from,base_0043,sub_from,test,True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,True,True,True,True,True,True
base_0043_double_sub,base_0043,double_sub,test,True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,True,True,True,True,True,True
base_0043_mod,base_0043,mod,test,True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,True,True,True,True,True,True
base_0044_add,base_0044,add,test,True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,True,True,True,True,True,True
base_0044_double_sub,base_0044,double_sub,test,True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,True,True,True,True,True,True
base_0044_mod,base_0044,mod,test,True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,True,True,True,True,True,True
base_0045_add,base_0045,add,test,True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,True,True,True,True,True,True
base_0045_sub_from,base_0045,sub_from,test,True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,True,True,True,True,True,True
base_0045_mod,base_0045,mod,test,True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,True,True,True,True,True,True
base_0046_add,base_0046,add,test,True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,True,True,True,True,True,True
base_0046_sub_from,base_0046,sub_from,test,True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,True,True,True,True,True,True
base_0046_mod,base_0046,mod,test,True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,True,True,True,True,True,True
base_0047_add,base_0047,add,calib,True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,True,True,True,True,True,True
