model,layer,direction,rank,token_id,token,meaning,in_lexicon
deepseek-coder-6.7b,0,negative,16,4545,pri,higher under the OUTER binding,0
deepseek-coder-6.7b,0,negative,17,6010,sem,higher under the OUTER binding,0
deepseek-coder-6.7b,0,negative,18,6011,anged,higher under the OUTER binding,0
deepseek-coder-6.7b,0,negative,19,530,xt,higher under the OUTER binding,0
deepseek-coder-6.7b,0,negative,20,17434,vd,higher under the OUTER binding,0
deepseek-coder-6.7b,0,negative,21,2607,rc,higher under the OUTER binding,0
deepseek-coder-6.7b,0,negative,22,714,ple,higher under the OUTER binding,0
deepseek-coder-6.7b,0,negative,23,3595,始,higher under the OUTER binding,0
deepseek-coder-6.7b,11,positive,0,6247,rer,higher under the INNER binding,0
deepseek-coder-6.7b,11,positive,1,25226, lighter,higher under the INNER binding,0
deepseek-coder-6.7b,11,positive,2,13034,iero,higher under the INNER binding,0
deepseek-coder-6.7b,11,positive,3,31831,范围内,higher under the INNER binding,0
deepseek-coder-6.7b,11,positive,4,8402, largest,higher under the INNER binding,0
deepseek-coder-6.7b,11,positive,5,17819,larg,higher under the INNER binding,0
deepseek-coder-6.7b,11,positive,6,25937,dead,higher under the INNER binding,0
deepseek-coder-6.7b,11,positive,7,17584,filled,higher under the INNER binding,0
deepseek-coder-6.7b,11,positive,8,23519,世界上,higher under the INNER binding,0
deepseek-coder-6.7b,11,positive,9,5332,EE,higher under the INNER binding,0
deepseek-coder-6.7b,11,positive,10,24895,within,higher under the INNER binding,0
deepseek-coder-6.7b,11,positive,11,4449, favor,higher under the INNER binding,0
deepseek-coder-6.7b,11,positive,12,18400, provision,higher under the INNER binding,0
deepseek-coder-6.7b,11,positive,13,19324, listened,higher under the INNER binding,0
deepseek-coder-6.7b,11,positive,14,1147,作,higher under the INNER binding,0
deepseek-coder-6.7b,11,positive,15,10016,xic,higher under the INNER binding,0
deepseek-coder-6.7b,11,positive,16,24486, Glass,higher under the INNER binding,0
deepseek-coder-6.7b,11,positive,17,3372,光,higher under the INNER binding,0
deepseek-coder-6.7b,11,positive,18,6233,anys,higher under the INNER binding,0
deepseek-coder-6.7b,11,positive,19,2920,angu,higher under the INNER binding,0
deepseek-coder-6.7b,11,positive,20,2930,�,higher under the INNER binding,0
deepseek-coder-6.7b,11,positive,21,26797,FFER,higher under the INNER binding,0
deepseek-coder-6.7b,11,positive,22,16294, deeper,higher under the INNER binding,0
deepseek-coder-6.7b,11,positive,23,10136,rera,higher under the INNER binding,0
deepseek-coder-6.7b,11,negative,0,13320,fix,higher under the OUTER binding,0
deepseek-coder-6.7b,11,negative,1,23634,bench,higher under the OUTER binding,0
deepseek-coder-6.7b,11,negative,2,25160, fixing,higher under the OUTER binding,0
deepseek-coder-6.7b,11,negative,3,6151,igen,higher under the OUTER binding,0
deepseek-coder-6.7b,11,negative,4,11257,blem,higher under the OUTER binding,0
deepseek-coder-6.7b,11,negative,5,23191,ifdef,higher under the OUTER binding,0
deepseek-coder-6.7b,11,negative,6,12429,eling,higher under the OUTER binding,0
deepseek-coder-6.7b,11,negative,7,24816,Fix,higher under the OUTER binding,0
deepseek-coder-6.7b,11,negative,8,21322,oble,higher under the OUTER binding,0
deepseek-coder-6.7b,11,negative,9,21676,",{\",higher under the OUTER binding,0
deepseek-coder-6.7b,11,negative,10,29928,观念,higher under the OUTER binding,0
deepseek-coder-6.7b,11,negative,11,589,ъ,higher under the OUTER binding,0
deepseek-coder-6.7b,11,negative,12,26044, обра,higher under the OUTER binding,0
deepseek-coder-6.7b,11,negative,13,14377, perturb,higher under the OUTER binding,0
deepseek-coder-6.7b,11,negative,14,5831,ky,higher under the OUTER binding,0
deepseek-coder-6.7b,11,negative,15,12767,stein,higher under the OUTER binding,0
deepseek-coder-6.7b,11,negative,16,9000,кт,higher under the OUTER binding,0
deepseek-coder-6.7b,11,negative,17,18047,Apple,higher under the OUTER binding,0
deepseek-coder-6.7b,11,negative,18,25773,кция,higher under the OUTER binding,0
deepseek-coder-6.7b,11,negative,19,8524,ben,higher under the OUTER binding,0
deepseek-coder-6.7b,11,negative,20,21901, modification,higher under the OUTER binding,0
deepseek-coder-6.7b,11,negative,21,6495, Ben,higher under the OUTER binding,0
deepseek-coder-6.7b,11,negative,22,834, she,higher under the OUTER binding,0
deepseek-coder-6.7b,11,negative,23,30886,слав,higher under the OUTER binding,0
deepseek-coder-6.7b,15,positive,0,4317,Over,higher under the INNER binding,0
deepseek-coder-6.7b,15,positive,1,30268,leaf,higher under the INNER binding,0
deepseek-coder-6.7b,15,positive,2,18739, distinguished,higher under the INNER binding,0
deepseek-coder-6.7b,15,positive,3,10399, distingu,higher under the INNER binding,0
deepseek-coder-6.7b,15,positive,4,23875,akh,higher under the INNER binding,0
deepseek-coder-6.7b,15,positive,5,14610, leaf,higher under the INNER binding,0
deepseek-coder-6.7b,15,positive,6,5708, quar,higher under the INNER binding,0
deepseek-coder-6.7b,15,positive,7,26272,agar,higher under the INNER binding,0
deepseek-coder-6.7b,15,positive,8,30959,resc,higher under the INNER binding,0
deepseek-coder-6.7b,15,positive,9,26019,grace,higher under the INNER binding,0
deepseek-coder-6.7b,15,positive,10,25437, Fellow,higher under the INNER binding,0
deepseek-coder-6.7b,15,positive,11,14460,ajax,higher under the INNER binding,0
deepseek-coder-6.7b,15,positive,12,1299,over,higher under the INNER binding,0
deepseek-coder-6.7b,15,positive,13,23785,amar,higher under the INNER binding,0
deepseek-coder-6.7b,15,positive,14,5262,local,higher under the INNER binding,0
deepseek-coder-6.7b,15,positive,15,30306, honored,higher under the INNER binding,0
deepseek-coder-6.7b,15,positive,16,27315,fellow,higher under the INNER binding,0
deepseek-coder-6.7b,15,positive,17,26290, overr,higher under the INNER binding,0
deepseek-coder-6.7b,15,positive,18,22898, Within,higher under the INNER binding,0
deepseek-coder-6.7b,15,positive,19,20351, diab,higher under the INNER binding,0
deepseek-coder-6.7b,15,positive,20,25635,overview,higher under the INNER binding,0
deepseek-coder-6.7b,15,positive,21,28424, respected,higher under the INNER binding,0
deepseek-coder-6.7b,15,positive,22,851, over,higher under the INNER binding,0
deepseek-coder-6.7b,15,positive,23,25532,gir,higher under the INNER binding,0
deepseek-coder-6.7b,15,negative,0,19797, useless,higher under the OUTER binding,0
deepseek-coder-6.7b,15,negative,1,5467, reference,higher under the OUTER binding,1
deepseek-coder-6.7b,15,negative,2,22708,mv,higher under the OUTER binding,0
deepseek-coder-6.7b,15,negative,3,3983,eral,higher under the OUTER binding,0
deepseek-coder-6.7b,15,negative,4,12083,Reference,higher under the OUTER binding,0
deepseek-coder-6.7b,15,negative,5,7173, Const,higher under the OUTER binding,0
deepseek-coder-6.7b,15,negative,6,7774,poses,higher under the OUTER binding,0
deepseek-coder-6.7b,15,negative,7,31940, unchanged,higher under the OUTER binding,1
deepseek-coder-6.7b,15,negative,8,23811, Reference,higher under the OUTER binding,0
deepseek-coder-6.7b,15,negative,9,18673, pole,higher under the OUTER binding,0
deepseek-coder-6.7b,15,negative,10,4239,PI,higher under the OUTER binding,0
deepseek-coder-6.7b,15,negative,11,6567,PO,higher under the OUTER binding,0
deepseek-coder-6.7b,15,negative,12,9462, stable,higher under the OUTER binding,0
deepseek-coder-6.7b,15,negative,13,32013,<｜begin▁of▁sentence｜>,higher under the OUTER binding,0
deepseek-coder-6.7b,15,negative,14,18019, refere,higher under the OUTER binding,0
deepseek-coder-6.7b,15,negative,15,9698,reference,higher under the OUTER binding,0
deepseek-coder-6.7b,15,negative,16,19946,饱,higher under the OUTER binding,0
deepseek-coder-6.7b,15,negative,17,4542,po,higher under the OUTER binding,0
deepseek-coder-6.7b,15,negative,18,22781, pose,higher under the OUTER binding,0
deepseek-coder-6.7b,15,negative,19,5566,害,higher under the OUTER binding,0
deepseek-coder-6.7b,15,negative,20,29027, referenced,higher under the OUTER binding,0
deepseek-coder-6.7b,15,negative,21,31014, Mik,higher under the OUTER binding,0
deepseek-coder-6.7b,15,negative,22,5314,dered,higher under the OUTER binding,0
deepseek-coder-6.7b,15,negative,23,9309,骨,higher under the OUTER binding,0
deepseek-coder-6.7b,19,positive,0,3437, individual,higher under the INNER binding,0
deepseek-coder-6.7b,19,positive,1,7929,括,higher under the INNER binding,0
deepseek-coder-6.7b,19,positive,2,13587, newly,higher under the INNER binding,0
deepseek-coder-6.7b,19,positive,3,19104, newer,higher under the INNER binding,0
deepseek-coder-6.7b,19,positive,4,9061,新的,higher under the INNER binding,0
deepseek-coder-6.7b,19,positive,5,27511,Numer,higher under the INNER binding,0
deepseek-coder-6.7b,19,positive,6,22898, Within,higher under the INNER binding,0
deepseek-coder-6.7b,19,positive,7,21997,最新,higher under the INNER binding,0
deepseek-coder-6.7b,19,positive,8,30110, drill,higher under the INNER binding,0
deepseek-coder-6.7b,19,positive,9,10399, distingu,higher under the INNER binding,0
deepseek-coder-6.7b,19,positive,10,4640, inside,higher under the INNER binding,1
deepseek-coder-6.7b,19,positive,11,14523, locally,higher under the INNER binding,0
deepseek-coder-6.7b,19,positive,12,5947,child,higher under the INNER binding,0
deepseek-coder-6.7b,19,positive,13,5310, numer,higher under the INNER binding,0
deepseek-coder-6.7b,19,positive,14,24759, individually,higher under the INNER binding,0
deepseek-coder-6.7b,19,positive,15,30740, reass,higher under the INNER binding,0
deepseek-coder-6.7b,19,positive,16,28919, nested,higher under the INNER binding,1
deepseek-coder-6.7b,19,positive,17,14015,numer,higher under the INNER binding,0
deepseek-coder-6.7b,19,positive,18,18986, individ,higher under the INNER binding,0
deepseek-coder-6.7b,19,positive,19,31772,ivari,higher under the INNER binding,0
deepseek-coder-6.7b,19,positive,20,8482,Child,higher under the INNER binding,0
deepseek-coder-6.7b,19,positive,21,10184, specifically,higher under the INNER binding,0
deepseek-coder-6.7b,19,positive,22,1859, child,higher under the INNER binding,0
deepseek-coder-6.7b,19,positive,23,26290, overr,higher under the INNER binding,0
deepseek-coder-6.7b,19,negative,0,8632, impossible,higher under the OUTER binding,0
deepseek-coder-6.7b,19,negative,1,19797, useless,higher under the OUTER binding,0
deepseek-coder-6.7b,19,negative,2,1705, old,higher under the OUTER binding,0
deepseek-coder-6.7b,19,negative,3,839,old,higher under the OUTER binding,0
deepseek-coder-6.7b,19,negative,4,31940, unchanged,higher under the OUTER binding,1
deepseek-coder-6.7b,19,negative,5,23877,OLD,higher under the OUTER binding,0
deepseek-coder-6.7b,19,negative,6,4564, fail,higher under the OUTER binding,0
deepseek-coder-6.7b,19,negative,7,25599,OFF,higher under the OUTER binding,0
deepseek-coder-6.7b,19,negative,8,9462, stable,higher under the OUTER binding,0
deepseek-coder-6.7b,19,negative,9,30513, unused,higher under the OUTER binding,0
deepseek-coder-6.7b,19,negative,10,19745,Old,higher under the OUTER binding,0
deepseek-coder-6.7b,19,negative,11,27549,不动,higher under the OUTER binding,0
deepseek-coder-6.7b,19,negative,12,11181, somewhere,higher under the OUTER binding,0
deepseek-coder-6.7b,19,negative,13,26305, nowhere,higher under the OUTER binding,0
deepseek-coder-6.7b,19,negative,14,22292,缺乏,higher under the OUTER binding,0
deepseek-coder-6.7b,19,negative,15,9325, Old,higher under the OUTER binding,0
deepseek-coder-6.7b,19,negative,16,23264,abad,higher under the OUTER binding,0
deepseek-coder-6.7b,19,negative,17,2959,off,higher under the OUTER binding,0
deepseek-coder-6.7b,19,negative,18,11892, dangerous,higher under the OUTER binding,0
deepseek-coder-6.7b,19,negative,19,12239,without,higher under the OUTER binding,0
deepseek-coder-6.7b,19,negative,20,8536, neither,higher under the OUTER binding,0
deepseek-coder-6.7b,19,negative,21,29467, harmful,higher under the OUTER binding,0
deepseek-coder-6.7b,19,negative,22,12046, undefined,higher under the OUTER binding,0
deepseek-coder-6.7b,19,negative,23,23470,undefined,higher under the OUTER binding,0
deepseek-coder-6.7b,23,positive,0,31405, Inside,higher under the INNER binding,0
deepseek-coder-6.7b,23,positive,1,4640, inside,higher under the INNER binding,1
deepseek-coder-6.7b,23,positive,2,22898, Within,higher under the INNER binding,0
deepseek-coder-6.7b,23,positive,3,10058, interior,higher under the INNER binding,0
deepseek-coder-6.7b,23,positive,4,22721,interior,higher under the INNER binding,0
deepseek-coder-6.7b,23,positive,5,9526, inner,higher under the INNER binding,1
deepseek-coder-6.7b,23,positive,6,4799,inner,higher under the INNER binding,0
deepseek-coder-6.7b,23,positive,7,30325,Inner,higher under the INNER binding,0
deepseek-coder-6.7b,23,positive,8,24895,within,higher under the INNER binding,0
deepseek-coder-6.7b,23,positive,9,16633, dentro,higher under the INNER binding,0
deepseek-coder-6.7b,23,positive,10,2372, within,higher under the INNER binding,0
deepseek-coder-6.7b,23,positive,11,28919, nested,higher under the INNER binding,1
deepseek-coder-6.7b,23,positive,12,30842, Interior,higher under the INNER binding,0
deepseek-coder-6.7b,23,positive,13,17904,内部,higher under the INNER binding,0
deepseek-coder-6.7b,23,positive,14,1231,ins,higher under the INNER binding,0
deepseek-coder-6.7b,23,positive,15,5171, inn,higher under the INNER binding,0
deepseek-coder-6.7b,23,positive,16,1776,内,higher under the INNER binding,0
deepseek-coder-6.7b,23,positive,17,15448,内的,higher under the INNER binding,0
deepseek-coder-6.7b,23,positive,18,11993,INS,higher under the INNER binding,0
deepseek-coder-6.7b,23,positive,19,23595, INS,higher under the INNER binding,0
deepseek-coder-6.7b,23,positive,20,28862,子里,higher under the INNER binding,0
deepseek-coder-6.7b,23,positive,21,11526,ested,higher under the INNER binding,0
deepseek-coder-6.7b,23,positive,22,13917, Inn,higher under the INNER binding,0
deepseek-coder-6.7b,23,positive,23,2452, intern,higher under the INNER binding,0
deepseek-coder-6.7b,23,negative,0,8632, impossible,higher under the OUTER binding,0
deepseek-coder-6.7b,23,negative,1,839,old,higher under the OUTER binding,0
deepseek-coder-6.7b,23,negative,2,23470,undefined,higher under the OUTER binding,0
deepseek-coder-6.7b,23,negative,3,4347, wrong,higher under the OUTER binding,0
deepseek-coder-6.7b,23,negative,4,1705, old,higher under the OUTER binding,0
deepseek-coder-6.7b,23,negative,5,19745,Old,higher under the OUTER binding,0
deepseek-coder-6.7b,23,negative,6,23877,OLD,higher under the OUTER binding,0
deepseek-coder-6.7b,23,negative,7,5467, reference,higher under the OUTER binding,1
deepseek-coder-6.7b,23,negative,8,24113, nullptr,higher under the OUTER binding,0
deepseek-coder-6.7b,23,negative,9,29016, garbage,higher under the OUTER binding,0
deepseek-coder-6.7b,23,negative,10,4564, fail,higher under the OUTER binding,0
deepseek-coder-6.7b,23,negative,11,12046, undefined,higher under the OUTER binding,0
deepseek-coder-6.7b,23,negative,12,21297, absent,higher under the OUTER binding,0
deepseek-coder-6.7b,23,negative,13,14589,NULL,higher under the OUTER binding,0
deepseek-coder-6.7b,23,negative,14,12083,Reference,higher under the OUTER binding,0
deepseek-coder-6.7b,23,negative,15,7930,RL,higher under the OUTER binding,0
deepseek-coder-6.7b,23,negative,16,4579, NULL,higher under the OUTER binding,0
deepseek-coder-6.7b,23,negative,17,26001, cached,higher under the OUTER binding,0
deepseek-coder-6.7b,23,negative,18,8536, neither,higher under the OUTER binding,0
deepseek-coder-6.7b,23,negative,19,9325, Old,higher under the OUTER binding,0
deepseek-coder-6.7b,23,negative,20,7928,Null,higher under the OUTER binding,0
deepseek-coder-6.7b,23,negative,21,9698,reference,higher under the OUTER binding,0
deepseek-coder-6.7b,23,negative,22,13310, incorrect,higher under the OUTER binding,0
deepseek-coder-6.7b,23,negative,23,6657,HER,higher under the OUTER binding,0
deepseek-coder-6.7b,27,positive,0,31405, Inside,higher under the INNER binding,0
deepseek-coder-6.7b,27,positive,1,4640, inside,higher under the INNER binding,1
deepseek-coder-6.7b,27,positive,2,1231,ins,higher under the INNER binding,0
deepseek-coder-6.7b,27,positive,3,22898, Within,higher under the INNER binding,0
deepseek-coder-6.7b,27,positive,4,16633, dentro,higher under the INNER binding,0
deepseek-coder-6.7b,27,positive,5,9526, inner,higher under the INNER binding,1
deepseek-coder-6.7b,27,positive,6,4799,inner,higher under the INNER binding,0
deepseek-coder-6.7b,27,positive,7,24895,within,higher under the INNER binding,0
deepseek-coder-6.7b,27,positive,8,2372, within,higher under the INNER binding,0
deepseek-coder-6.7b,27,positive,9,5171, inn,higher under the INNER binding,0
deepseek-coder-6.7b,27,positive,10,22721,interior,higher under the INNER binding,0
deepseek-coder-6.7b,27,positive,11,30325,Inner,higher under the INNER binding,0
deepseek-coder-6.7b,27,positive,12,11993,INS,higher under the INNER binding,0
deepseek-coder-6.7b,27,positive,13,10058, interior,higher under the INNER binding,0
deepseek-coder-6.7b,27,positive,14,17904,内部,higher under the INNER binding,0
deepseek-coder-6.7b,27,positive,15,1776,内,higher under the INNER binding,0
deepseek-coder-6.7b,27,positive,16,13917, Inn,higher under the INNER binding,0
deepseek-coder-6.7b,27,positive,17,23595, INS,higher under the INNER binding,0
deepseek-coder-6.7b,27,positive,18,28919, nested,higher under the INNER binding,1
deepseek-coder-6.7b,27,positive,19,15448,内的,higher under the INNER binding,0
deepseek-coder-6.7b,27,positive,20,8336, innov,higher under the INNER binding,0
deepseek-coder-6.7b,27,positive,21,26004, Innov,higher under the INNER binding,0
deepseek-coder-6.7b,27,positive,22,13649,里面,higher under the INNER binding,0
deepseek-coder-6.7b,27,positive,23,1663, ins,higher under the INNER binding,0
deepseek-coder-6.7b,27,negative,0,4347, wrong,higher under the OUTER binding,0
deepseek-coder-6.7b,27,negative,1,5336, yes,higher under the OUTER binding,0
deepseek-coder-6.7b,27,negative,2,8714,yes,higher under the OUTER binding,0
deepseek-coder-6.7b,27,negative,3,839,old,higher under the OUTER binding,0
deepseek-coder-6.7b,27,negative,4,23470,undefined,higher under the OUTER binding,0
deepseek-coder-6.7b,27,negative,5,26423,extern,higher under the OUTER binding,0
deepseek-coder-6.7b,27,negative,6,12046, undefined,higher under the OUTER binding,0
deepseek-coder-6.7b,27,negative,7,4564, fail,higher under the OUTER binding,0
deepseek-coder-6.7b,27,negative,8,6659, external,higher under the OUTER binding,0
deepseek-coder-6.7b,27,negative,9,23877,OLD,higher under the OUTER binding,0
deepseek-coder-6.7b,27,negative,10,19052,错误,higher under the OUTER binding,0
deepseek-coder-6.7b,27,negative,11,21549, badly,higher under the OUTER binding,0
deepseek-coder-6.7b,27,negative,12,19745,Old,higher under the OUTER binding,0
deepseek-coder-6.7b,27,negative,13,31755,FALSE,higher under the OUTER binding,0
deepseek-coder-6.7b,27,negative,14,31172, WR,higher under the OUTER binding,0
deepseek-coder-6.7b,27,negative,15,5467, reference,higher under the OUTER binding,1
deepseek-coder-6.7b,27,negative,16,1705, old,higher under the OUTER binding,0
deepseek-coder-6.7b,27,negative,17,11916,OUT,higher under the OUTER binding,0
deepseek-coder-6.7b,27,negative,18,27436,cannot,higher under the OUTER binding,0
deepseek-coder-6.7b,27,negative,19,2967, cannot,higher under the OUTER binding,0
deepseek-coder-6.7b,27,negative,20,30383,FIX,higher under the OUTER binding,0
deepseek-coder-6.7b,27,negative,21,7589, Yes,higher under the OUTER binding,0
deepseek-coder-6.7b,27,negative,22,8632, impossible,higher under the OUTER binding,0
deepseek-coder-6.7b,27,negative,23,13310, incorrect,higher under the OUTER binding,0
deepseek-coder-6.7b,3,positive,0,4458,osa,higher under the INNER binding,0
deepseek-coder-6.7b,3,positive,1,23096,lag,higher under the INNER binding,0
deepseek-coder-6.7b,3,positive,2,18544, Simon,higher under the INNER binding,0
deepseek-coder-6.7b,3,positive,3,30667,edic,higher under the INNER binding,0
deepseek-coder-6.7b,3,positive,4,603,ther,higher under the INNER binding,0
deepseek-coder-6.7b,3,positive,5,15401,adel,higher under the INNER binding,0
deepseek-coder-6.7b,3,positive,6,17080, Ther,higher under the INNER binding,0
deepseek-coder-6.7b,3,positive,7,4189, Pol,higher under the INNER binding,0
deepseek-coder-6.7b,3,positive,8,14766, bundle,higher under the INNER binding,0
deepseek-coder-6.7b,3,positive,9,10558, claims,higher under the INNER binding,0
deepseek-coder-6.7b,3,positive,10,2984, cas,higher under the INNER binding,0
deepseek-coder-6.7b,3,positive,11,19937, Hub,higher under the INNER binding,0
deepseek-coder-6.7b,3,positive,12,4803, Sim,higher under the INNER binding,0
deepseek-coder-6.7b,3,positive,13,25716, Pant,higher under the INNER binding,0
deepseek-coder-6.7b,3,positive,14,7762,apa,higher under the INNER binding,0
deepseek-coder-6.7b,3,positive,15,8995,LASS,higher under the INNER binding,0
deepseek-coder-6.7b,3,positive,16,5000,eks,higher under the INNER binding,0
deepseek-coder-6.7b,3,positive,17,10626,桥,higher under the INNER binding,0
deepseek-coder-6.7b,3,positive,18,13598, jur,higher under the INNER binding,0
deepseek-coder-6.7b,3,positive,19,2574,bt,higher under the INNER binding,0
deepseek-coder-6.7b,3,positive,20,1431,ittle,higher under the INNER binding,0
deepseek-coder-6.7b,3,positive,21,14784, perd,higher under the INNER binding,0
deepseek-coder-6.7b,3,positive,22,27791,binding,higher under the INNER binding,0
deepseek-coder-6.7b,3,positive,23,8383,uer,higher under the INNER binding,0
deepseek-coder-6.7b,3,negative,0,31355,Cut,higher under the OUTER binding,0
deepseek-coder-6.7b,3,negative,1,9892,via,higher under the OUTER binding,0
deepseek-coder-6.7b,3,negative,2,31426,getMessage,higher under the OUTER binding,0
deepseek-coder-6.7b,3,negative,3,9586,弹,higher under the OUTER binding,0
deepseek-coder-6.7b,3,negative,4,399,ke,higher under the OUTER binding,0
deepseek-coder-6.7b,3,negative,5,1707, fact,higher under the OUTER binding,0
deepseek-coder-6.7b,3,negative,6,21152,Spr,higher under the OUTER binding,0
deepseek-coder-6.7b,3,negative,7,24658, Comb,higher under the OUTER binding,0
deepseek-coder-6.7b,3,negative,8,27507, encoder,higher under the OUTER binding,0
deepseek-coder-6.7b,3,negative,9,8584, Spr,higher under the OUTER binding,0
deepseek-coder-6.7b,3,negative,10,2555,roid,higher under the OUTER binding,0
deepseek-coder-6.7b,3,negative,11,5005,压,higher under the OUTER binding,0
deepseek-coder-6.7b,3,negative,12,9128,road,higher under the OUTER binding,0
deepseek-coder-6.7b,3,negative,13,11195,阵,higher under the OUTER binding,0
deepseek-coder-6.7b,3,negative,14,2782,mp,higher under the OUTER binding,0
deepseek-coder-6.7b,3,negative,15,1055,ро,higher under the OUTER binding,0
deepseek-coder-6.7b,3,negative,16,28608, resting,higher under the OUTER binding,0
deepseek-coder-6.7b,3,negative,17,4550, road,higher under the OUTER binding,0
deepseek-coder-6.7b,3,negative,18,17754,geon,higher under the OUTER binding,0
deepseek-coder-6.7b,3,negative,19,793,ays,higher under the OUTER binding,0
deepseek-coder-6.7b,3,negative,20,19557,在这里,higher under the OUTER binding,0
deepseek-coder-6.7b,3,negative,21,14617, MP,higher under the OUTER binding,0
deepseek-coder-6.7b,3,negative,22,25698, pursuit,higher under the OUTER binding,0
deepseek-coder-6.7b,3,negative,23,6782, challeng,higher under the OUTER binding,0
deepseek-coder-6.7b,31,positive,0,31405, Inside,higher under the INNER binding,0
deepseek-coder-6.7b,31,positive,1,5171, inn,higher under the INNER binding,0
deepseek-coder-6.7b,31,positive,2,9526, inner,higher under the INNER binding,1
deepseek-coder-6.7b,31,positive,3,1231,ins,higher under the INNER binding,0
deepseek-coder-6.7b,31,positive,4,4799,inner,higher under the INNER binding,0
deepseek-coder-6.7b,31,positive,5,26004, Innov,higher under the INNER binding,0
deepseek-coder-6.7b,31,positive,6,4640, inside,higher under the INNER binding,1
deepseek-coder-6.7b,31,positive,7,13917, Inn,higher under the INNER binding,0
deepseek-coder-6.7b,31,positive,8,30325,Inner,higher under the INNER binding,0
deepseek-coder-6.7b,31,positive,9,16074,Print,higher under the INNER binding,0
deepseek-coder-6.7b,31,positive,10,22721,interior,higher under the INNER binding,0
deepseek-coder-6.7b,31,positive,11,14977, Print,higher under the INNER binding,0
deepseek-coder-6.7b,31,positive,12,28919, nested,higher under the INNER binding,1
deepseek-coder-6.7b,31,positive,13,29773,>= ,higher under the INNER binding,0
deepseek-coder-6.7b,31,positive,14,1412, = ,higher under the INNER binding,0
deepseek-coder-6.7b,31,positive,15,7471,> ,higher under the INNER binding,0
deepseek-coder-6.7b,31,positive,16,9482, => ,higher under the INNER binding,0
deepseek-coder-6.7b,31,positive,17,17613, Prin,higher under the INNER binding,0
deepseek-coder-6.7b,31,positive,18,4084,= ,higher under the INNER binding,0
deepseek-coder-6.7b,31,positive,19,16684, >= ,higher under the INNER binding,0
deepseek-coder-6.7b,31,positive,20,17904,内部,higher under the INNER binding,0
deepseek-coder-6.7b,31,positive,21,756, new,higher under the INNER binding,1
deepseek-coder-6.7b,31,positive,22,4166, Intern,higher under the INNER binding,0
deepseek-coder-6.7b,31,positive,23,1829,new,higher under the INNER binding,0
