model,base_id,split,arm,binding,cell,style,variant,question,kind,correct_pole,inner_token,outer_token,logp_inner,logp_outer,margin_inner,margin_correct,says_inner,correct,argmax_token,argmax_is_a_choice,n_prompt_tokens,question_text
deepseek-coder-6.7b,base_0000,test,ba,source,ba_source,binding,swapped,binding/swapped,word,outer,9526,12915,-0.5193642377853394,-1.1668518781661987,0.6474876403808594,-0.6474876403808594,1,0,9526,1,35,"
# Question: does f return the outer z or the inner z? Answer: the"
deepseek-coder-6.7b,base_0000,test,ba,target,ba_target,binding,swapped,binding/swapped,word,inner,9526,12915,-0.19609883427619934,-2.2463974952697754,2.050298660993576,2.050298660993576,1,1,9526,1,35,"
# Question: does f return the outer z or the inner z? Answer: the"
deepseek-coder-6.7b,base_0000,test,ab,source,ab_source,pyscope,direct,pyscope/direct,word,outer,2291,5160,-2.1604247093200684,-1.1887127161026,-0.9717119932174683,0.9717119932174683,0,1,5160,1,33,"
# Question: is the z returned by f local or global? Answer:"
deepseek-coder-6.7b,base_0000,test,ab,target,ab_target,pyscope,direct,pyscope/direct,word,inner,2291,5160,-1.5468902587890625,-1.6151142120361328,0.06822395324707031,0.06822395324707031,1,1,2291,1,33,"
# Question: is the z returned by f local or global? Answer:"
deepseek-coder-6.7b,base_0000,test,ba,source,ba_source,pyscope,direct,pyscope/direct,word,outer,2291,5160,-2.2475457191467285,-1.1599030494689941,-1.0876426696777344,1.0876426696777344,0,1,5160,1,33,"
# Question: is the z returned by f local or global? Answer:"
deepseek-coder-6.7b,base_0000,test,ba,target,ba_target,pyscope,direct,pyscope/direct,word,inner,2291,5160,-1.4932405948638916,-1.6636126041412354,0.17037200927734375,0.17037200927734375,1,1,2291,1,33,"
# Question: is the z returned by f local or global? Answer:"
deepseek-coder-6.7b,base_0000,test,ab,source,ab_source,pyscope,swapped,pyscope/swapped,word,outer,2291,5160,-1.737388014793396,-1.4850648641586304,-0.2523231506347656,0.2523231506347656,0,1,5160,1,33,"
# Question: is the z returned by f global or local? Answer:"
deepseek-coder-6.7b,base_0000,test,ab,target,ab_target,pyscope,swapped,pyscope/swapped,word,inner,2291,5160,-1.225806474685669,-2.28106427192688,1.055257797241211,1.055257797241211,1,1,2291,1,33,"
# Question: is the z returned by f global or local? Answer:"
deepseek-coder-6.7b,base_0000,test,ba,source,ba_source,pyscope,swapped,pyscope/swapped,word,outer,2291,5160,-1.7603952884674072,-1.4790098667144775,-0.2813854217529297,0.2813854217529297,0,1,5160,1,33,"
# Question: is the z returned by f global or local? Answer:"
deepseek-coder-6.7b,base_0000,test,ba,target,ba_target,pyscope,swapped,pyscope/swapped,word,inner,2291,5160,-1.1801307201385498,-2.402125120162964,1.221994400024414,1.221994400024414,1,1,2291,1,33,"
# Question: is the z returned by f global or local? Answer:"
deepseek-coder-6.7b,base_0000,test,ab,source,ab_source,shadow,direct,shadow/direct,word,outer,5336,637,-0.8647201061248779,-1.6500537395477295,0.7853336334228516,-0.7853336334228516,1,0,5336,1,34,"
# Question: is z shadowed inside f (yes/no)? Answer:"
deepseek-coder-6.7b,base_0000,test,ab,target,ab_target,shadow,direct,shadow/direct,word,inner,5336,637,-0.847209632396698,-1.640146017074585,0.792936384677887,0.792936384677887,1,1,5336,1,34,"
# Question: is z shadowed inside f (yes/no)? Answer:"
deepseek-coder-6.7b,base_0000,test,ba,source,ba_source,shadow,direct,shadow/direct,word,outer,5336,637,-0.8779644966125488,-1.6175312995910645,0.7395668029785156,-0.7395668029785156,1,0,5336,1,34,"
# Question: is z shadowed inside f (yes/no)? Answer:"
deepseek-coder-6.7b,base_0000,test,ba,target,ba_target,shadow,direct,shadow/direct,word,inner,5336,637,-0.8507540822029114,-1.6144087314605713,0.7636546492576599,0.7636546492576599,1,1,5336,1,34,"
# Question: is z shadowed inside f (yes/no)? Answer:"
deepseek-coder-6.7b,base_0000,test,ab,source,ab_source,shadow,swapped,shadow/swapped,word,outer,637,5336,-1.6850882768630981,-1.0839701890945435,-0.6011180877685547,0.6011180877685547,0,1,5336,1,36,"
# Question: does f return the z from outside f (yes/no)? Answer:"
deepseek-coder-6.7b,base_0000,test,ab,target,ab_target,shadow,swapped,shadow/swapped,word,inner,637,5336,-1.4682421684265137,-1.1871352195739746,-0.28110694885253906,-0.28110694885253906,0,0,5336,1,36,"
# Question: does f return the z from outside f (yes/no)? Answer:"
deepseek-coder-6.7b,base_0000,test,ba,source,ba_source,shadow,swapped,shadow/swapped,word,outer,637,5336,-1.6652858257293701,-1.0828921794891357,-0.5823936462402344,0.5823936462402344,0,1,5336,1,36,"
# Question: does f return the z from outside f (yes/no)? Answer:"
deepseek-coder-6.7b,base_0000,test,ba,target,ba_target,shadow,swapped,shadow/swapped,word,inner,637,5336,-1.448801040649414,-1.1711845397949219,-0.2776165008544922,-0.2776165008544922,0,0,5336,1,36,"
# Question: does f return the z from outside f (yes/no)? Answer:"
deepseek-coder-6.7b,base_0000,test,ab,source,ab_source,value,direct,value/direct,value,outer,19,17,-3.785139322280884,-0.07559233158826828,-3.7095469906926155,3.7095469906926155,0,1,17,1,21,"
assert f() == "
deepseek-coder-6.7b,base_0000,test,ab,target,ab_target,value,direct,value/direct,value,inner,19,17,-0.039027173072099686,-3.96054744720459,3.92152027413249,3.92152027413249,1,1,19,1,21,"
assert f() == "
deepseek-coder-6.7b,base_0000,test,ba,source,ba_source,value,direct,value/direct,value,outer,17,19,-2.2373759746551514,-0.19573476910591125,-2.04164120554924,2.04164120554924,0,1,19,1,21,"
assert f() == "
deepseek-coder-6.7b,base_0000,test,ba,target,ba_target,value,direct,value/direct,value,inner,17,19,-0.03603788837790489,-4.513412952423096,4.477375064045191,4.477375064045191,1,1,17,1,21,"
assert f() == "
deepseek-coder-6.7b,base_0001,test,ab,source,ab_source,scope,direct,scope/direct,word,outer,4640,4871,-4.1482319831848145,-2.521728992462158,-1.6265029907226562,1.6265029907226562,0,1,359,0,35,"
# Question: does f return the j assigned inside f or outside f? Answer:"
deepseek-coder-6.7b,base_0001,test,ab,target,ab_target,scope,direct,scope/direct,word,inner,4640,4871,-3.5104310512542725,-2.814640760421753,-0.6957902908325195,-0.6957902908325195,0,0,207,0,35,"
# Question: does f return the j assigned inside f or outside f? Answer:"
deepseek-coder-6.7b,base_0001,test,ba,source,ba_source,scope,direct,scope/direct,word,outer,4640,4871,-4.225717544555664,-2.594236373901367,-1.6314811706542969,1.6314811706542969,0,1,359,0,35,"
# Question: does f return the j assigned inside f or outside f? Answer:"
deepseek-coder-6.7b,base_0001,test,ba,target,ba_target,scope,direct,scope/direct,word,inner,4640,4871,-3.392630100250244,-3.0386977195739746,-0.35393238067626953,-0.35393238067626953,0,0,207,0,35,"
# Question: does f return the j assigned inside f or outside f? Answer:"
deepseek-coder-6.7b,base_0001,test,ab,source,ab_source,scope,swapped,scope/swapped,word,outer,4640,4871,-2.7213001251220703,-2.6785202026367188,-0.04277992248535156,0.04277992248535156,0,1,359,0,35,"
# Question: does f return the j assigned outside f or inside f? Answer:"
deepseek-coder-6.7b,base_0001,test,ab,target,ab_target,scope,swapped,scope/swapped,word,inner,4640,4871,-2.2827868461608887,-3.006537914276123,0.7237510681152344,0.7237510681152344,1,1,359,0,35,"
# Question: does f return the j assigned outside f or inside f? Answer:"
deepseek-coder-6.7b,base_0001,test,ba,source,ba_source,scope,swapped,scope/swapped,word,outer,4640,4871,-2.773904323577881,-2.713195323944092,-0.06070899963378906,0.06070899963378906,0,1,359,0,35,"
# Question: does f return the j assigned outside f or inside f? Answer:"
deepseek-coder-6.7b,base_0001,test,ba,target,ba_target,scope,swapped,scope/swapped,word,inner,4640,4871,-2.324427604675293,-3.060603141784668,0.736175537109375,0.736175537109375,1,1,207,0,35,"
# Question: does f return the j assigned outside f or inside f? Answer:"
deepseek-coder-6.7b,base_0001,test,ab,source,ab_source,binding,direct,binding/direct,word,outer,9526,12915,-0.34092625975608826,-1.6244326829910278,1.2835064232349396,-1.2835064232349396,1,0,9526,1,35,"
# Question: does f return the inner j or the outer j? Answer: the"
deepseek-coder-6.7b,base_0001,test,ab,target,ab_target,binding,direct,binding/direct,word,inner,9526,12915,-0.24786899983882904,-1.9618639945983887,1.7139949947595596,1.7139949947595596,1,1,9526,1,35,"
# Question: does f return the inner j or the outer j? Answer: the"
deepseek-coder-6.7b,base_0001,test,ba,source,ba_source,binding,direct,binding/direct,word,outer,9526,12915,-0.338008850812912,-1.6421794891357422,1.3041706383228302,-1.3041706383228302,1,0,9526,1,35,"
# Question: does f return the inner j or the outer j? Answer: the"
deepseek-coder-6.7b,base_0001,test,ba,target,ba_target,binding,direct,binding/direct,word,inner,9526,12915,-0.22549302875995636,-2.1398892402648926,1.9143962115049362,1.9143962115049362,1,1,9526,1,35,"
# Question: does f return the inner j or the outer j? Answer: the"
deepseek-coder-6.7b,base_0001,test,ab,source,ab_source,binding,swapped,binding/swapped,word,outer,9526,12915,-0.498677521944046,-1.208949327468872,0.710271805524826,-0.710271805524826,1,0,9526,1,35,"
# Question: does f return the outer j or the inner j? Answer: the"
deepseek-coder-6.7b,base_0001,test,ab,target,ab_target,binding,swapped,binding/swapped,word,inner,9526,12915,-0.20818649232387543,-2.142016649246216,1.9338301569223404,1.9338301569223404,1,1,9526,1,35,"
# Question: does f return the outer j or the inner j? Answer: the"
deepseek-coder-6.7b,base_0001,test,ba,source,ba_source,binding,swapped,binding/swapped,word,outer,9526,12915,-0.49947112798690796,-1.2208037376403809,0.7213326096534729,-0.7213326096534729,1,0,9526,1,35,"
# Question: does f return the outer j or the inner j? Answer: the"
deepseek-coder-6.7b,base_0001,test,ba,target,ba_target,binding,swapped,binding/swapped,word,inner,9526,12915,-0.18483425676822662,-2.3730266094207764,2.1881923526525497,2.1881923526525497,1,1,9526,1,35,"
# Question: does f return the outer j or the inner j? Answer: the"
deepseek-coder-6.7b,base_0001,test,ab,source,ab_source,pyscope,direct,pyscope/direct,word,outer,2291,5160,-1.9906097650527954,-1.2489715814590454,-0.74163818359375,0.74163818359375,0,1,5160,1,33,"
# Question: is the j returned by f local or global? Answer:"
deepseek-coder-6.7b,base_0001,test,ab,target,ab_target,pyscope,direct,pyscope/direct,word,inner,2291,5160,-1.4713361263275146,-1.585754156112671,0.11441802978515625,0.11441802978515625,1,1,2291,1,33,"
# Question: is the j returned by f local or global? Answer:"
deepseek-coder-6.7b,base_0001,test,ba,source,ba_source,pyscope,direct,pyscope/direct,word,outer,2291,5160,-1.9384987354278564,-1.2322590351104736,-0.7062397003173828,0.7062397003173828,0,1,5160,1,33,"
# Question: is the j returned by f local or global? Answer:"
deepseek-coder-6.7b,base_0001,test,ba,target,ba_target,pyscope,direct,pyscope/direct,word,inner,2291,5160,-1.571975827217102,-1.4655553102493286,-0.10642051696777344,-0.10642051696777344,0,0,5160,1,33,"
# Question: is the j returned by f local or global? Answer:"
deepseek-coder-6.7b,base_0001,test,ab,source,ab_source,pyscope,swapped,pyscope/swapped,word,outer,2291,5160,-1.5248183012008667,-1.6925562620162964,0.1677379608154297,-0.1677379608154297,1,0,2291,1,33,"
# Question: is the j returned by f global or local? Answer:"
deepseek-coder-6.7b,base_0001,test,ab,target,ab_target,pyscope,swapped,pyscope/swapped,word,inner,2291,5160,-1.1461294889450073,-2.318624496459961,1.1724950075149536,1.1724950075149536,1,1,2291,1,33,"
# Question: is the j returned by f global or local? Answer:"
deepseek-coder-6.7b,base_0001,test,ba,source,ba_source,pyscope,swapped,pyscope/swapped,word,outer,2291,5160,-1.5230708122253418,-1.6140456199645996,0.09097480773925781,-0.09097480773925781,1,0,2291,1,33,"
# Question: is the j returned by f global or local? Answer:"
deepseek-coder-6.7b,base_0001,test,ba,target,ba_target,pyscope,swapped,pyscope/swapped,word,inner,2291,5160,-1.218605875968933,-2.070988655090332,0.8523827791213989,0.8523827791213989,1,1,2291,1,33,"
# Question: is the j returned by f global or local? Answer:"
deepseek-coder-6.7b,base_0001,test,ab,source,ab_source,shadow,direct,shadow/direct,word,outer,5336,637,-0.8821731209754944,-1.6617770195007324,0.779603898525238,-0.779603898525238,1,0,5336,1,34,"
# Question: is j shadowed inside f (yes/no)? Answer:"
deepseek-coder-6.7b,base_0001,test,ab,target,ab_target,shadow,direct,shadow/direct,word,inner,5336,637,-0.785544216632843,-1.7645423412322998,0.9789981245994568,0.9789981245994568,1,1,5336,1,34,"
# Question: is j shadowed inside f (yes/no)? Answer:"
deepseek-coder-6.7b,base_0001,test,ba,source,ba_source,shadow,direct,shadow/direct,word,outer,5336,637,-0.8965804576873779,-1.6559741497039795,0.7593936920166016,-0.7593936920166016,1,0,5336,1,34,"
# Question: is j shadowed inside f (yes/no)? Answer:"
deepseek-coder-6.7b,base_0001,test,ba,target,ba_target,shadow,direct,shadow/direct,word,inner,5336,637,-0.8173896074295044,-1.7471858263015747,0.9297962188720703,0.9297962188720703,1,1,5336,1,34,"
# Question: is j shadowed inside f (yes/no)? Answer:"
deepseek-coder-6.7b,base_0001,test,ab,source,ab_source,shadow,swapped,shadow/swapped,word,outer,637,5336,-1.654644250869751,-1.1401331424713135,-0.5145111083984375,0.5145111083984375,0,1,5336,1,36,"
# Question: does f return the j from outside f (yes/no)? Answer:"
deepseek-coder-6.7b,base_0001,test,ab,target,ab_target,shadow,swapped,shadow/swapped,word,inner,637,5336,-1.5332952737808228,-1.12911856174469,-0.4041767120361328,-0.4041767120361328,0,0,5336,1,36,"
# Question: does f return the j from outside f (yes/no)? Answer:"
deepseek-coder-6.7b,base_0001,test,ba,source,ba_source,shadow,swapped,shadow/swapped,word,outer,637,5336,-1.6486204862594604,-1.1850641965866089,-0.46355628967285156,0.46355628967285156,0,1,5336,1,36,"
# Question: does f return the j from outside f (yes/no)? Answer:"
deepseek-coder-6.7b,base_0001,test,ba,target,ba_target,shadow,swapped,shadow/swapped,word,inner,637,5336,-1.516148328781128,-1.1797301769256592,-0.33641815185546875,-0.33641815185546875,0,0,5336,1,36,"
# Question: does f return the j from outside f (yes/no)? Answer:"
deepseek-coder-6.7b,base_0001,test,ab,source,ab_source,value,direct,value/direct,value,outer,17,18,-2.6997649669647217,-0.11134038865566254,-2.588424578309059,2.588424578309059,0,1,18,1,21,"
assert f() == "
deepseek-coder-6.7b,base_0001,test,ab,target,ab_target,value,direct,value/direct,value,inner,17,18,-0.043330900371074677,-3.554645299911499,3.5113143995404243,3.5113143995404243,1,1,17,1,21,"
assert f() == "
deepseek-coder-6.7b,base_0001,test,ba,source,ba_source,value,direct,value/direct,value,outer,18,17,-3.3297336101531982,-0.052378345280885696,-3.2773552648723125,3.2773552648723125,0,1,17,1,21,"
assert f() == "
deepseek-coder-6.7b,base_0001,test,ba,target,ba_target,value,direct,value/direct,value,inner,18,17,-0.024842606857419014,-4.271302700042725,4.246460093185306,4.246460093185306,1,1,18,1,21,"
assert f() == "
deepseek-coder-6.7b,base_0002,calib,ab,source,ab_source,scope,direct,scope/direct,word,outer,4640,4871,-4.59250545501709,-2.5462491512298584,-2.0462563037872314,2.0462563037872314,0,1,359,0,35,"
# Question: does f return the v assigned inside f or outside f? Answer:"
deepseek-coder-6.7b,base_0002,calib,ab,target,ab_target,scope,direct,scope/direct,word,inner,4640,4871,-3.517477035522461,-2.8403759002685547,-0.6771011352539062,-0.6771011352539062,0,0,359,0,35,"
# Question: does f return the v assigned inside f or outside f? Answer:"
deepseek-coder-6.7b,base_0002,calib,ba,source,ba_source,scope,direct,scope/direct,word,outer,4640,4871,-4.595958709716797,-2.524888753890991,-2.0710699558258057,2.0710699558258057,0,1,359,0,35,"
# Question: does f return the v assigned inside f or outside f? Answer:"
deepseek-coder-6.7b,base_0002,calib,ba,target,ba_target,scope,direct,scope/direct,word,inner,4640,4871,-3.407280445098877,-2.900540828704834,-0.506739616394043,-0.506739616394043,0,0,207,0,35,"
# Question: does f return the v assigned inside f or outside f? Answer:"
deepseek-coder-6.7b,base_0002,calib,ab,source,ab_source,scope,swapped,scope/swapped,word,outer,4640,4871,-2.960167646408081,-2.7136600017547607,-0.2465076446533203,0.2465076446533203,0,1,359,0,35,"
# Question: does f return the v assigned outside f or inside f? Answer:"
deepseek-coder-6.7b,base_0002,calib,ab,target,ab_target,scope,swapped,scope/swapped,word,inner,4640,4871,-2.34487247467041,-3.0981740951538086,0.7533016204833984,0.7533016204833984,1,1,359,0,35,"
# Question: does f return the v assigned outside f or inside f? Answer:"
deepseek-coder-6.7b,base_0002,calib,ba,source,ba_source,scope,swapped,scope/swapped,word,outer,4640,4871,-2.9391112327575684,-2.67885160446167,-0.26025962829589844,0.26025962829589844,0,1,359,0,35,"
# Question: does f return the v assigned outside f or inside f? Answer:"
deepseek-coder-6.7b,base_0002,calib,ba,target,ba_target,scope,swapped,scope/swapped,word,inner,4640,4871,-2.3560824394226074,-3.164294719696045,0.8082122802734375,0.8082122802734375,1,1,207,0,35,"
# Question: does f return the v assigned outside f or inside f? Answer:"
deepseek-coder-6.7b,base_0002,calib,ab,source,ab_source,binding,direct,binding/direct,word,outer,9526,12915,-0.5089690089225769,-1.1971938610076904,0.6882248520851135,-0.6882248520851135,1,0,9526,1,35,"
# Question: does f return the inner v or the outer v? Answer: the"
deepseek-coder-6.7b,base_0002,calib,ab,target,ab_target,binding,direct,binding/direct,word,inner,9526,12915,-0.29401054978370667,-1.7686141729354858,1.4746036231517792,1.4746036231517792,1,1,9526,1,35,"
# Question: does f return the inner v or the outer v? Answer: the"
deepseek-coder-6.7b,base_0002,calib,ba,source,ba_source,binding,direct,binding/direct,word,outer,9526,12915,-0.5326068997383118,-1.1643760204315186,0.6317691206932068,-0.6317691206932068,1,0,9526,1,35,"
# Question: does f return the inner v or the outer v? Answer: the"
deepseek-coder-6.7b,base_0002,calib,ba,target,ba_target,binding,direct,binding/direct,word,inner,9526,12915,-0.2569044232368469,-1.9789273738861084,1.7220229506492615,1.7220229506492615,1,1,9526,1,35,"
# Question: does f return the inner v or the outer v? Answer: the"
deepseek-coder-6.7b,base_0002,calib,ab,source,ab_source,binding,swapped,binding/swapped,word,outer,9526,12915,-0.4279318153858185,-1.3211889266967773,0.8932571113109589,-0.8932571113109589,1,0,9526,1,35,"
# Question: does f return the outer v or the inner v? Answer: the"
deepseek-coder-6.7b,base_0002,calib,ab,target,ab_target,binding,swapped,binding/swapped,word,inner,9526,12915,-0.15811175107955933,-2.4781649112701416,2.3200531601905823,2.3200531601905823,1,1,9526,1,35,"
# Question: does f return the outer v or the inner v? Answer: the"
deepseek-coder-6.7b,base_0002,calib,ba,source,ba_source,binding,swapped,binding/swapped,word,outer,9526,12915,-0.44978561997413635,-1.2716220617294312,0.8218364417552948,-0.8218364417552948,1,0,9526,1,35,"
# Question: does f return the outer v or the inner v? Answer: the"
deepseek-coder-6.7b,base_0002,calib,ba,target,ba_target,binding,swapped,binding/swapped,word,inner,9526,12915,-0.15068434178829193,-2.5899925231933594,2.4393081814050674,2.4393081814050674,1,1,9526,1,35,"
# Question: does f return the outer v or the inner v? Answer: the"
deepseek-coder-6.7b,base_0002,calib,ab,source,ab_source,pyscope,direct,pyscope/direct,word,outer,2291,5160,-2.1330409049987793,-1.048938274383545,-1.0841026306152344,1.0841026306152344,0,1,5160,1,33,"
# Question: is the v returned by f local or global? Answer:"
deepseek-coder-6.7b,base_0002,calib,ab,target,ab_target,pyscope,direct,pyscope/direct,word,inner,2291,5160,-1.4339078664779663,-1.566611647605896,0.1327037811279297,0.1327037811279297,1,1,2291,1,33,"
# Question: is the v returned by f local or global? Answer:"
deepseek-coder-6.7b,base_0002,calib,ba,source,ba_source,pyscope,direct,pyscope/direct,word,outer,2291,5160,-2.134352207183838,-1.05161714553833,-1.0827350616455078,1.0827350616455078,0,1,5160,1,33,"
# Question: is the v returned by f local or global? Answer:"
deepseek-coder-6.7b,base_0002,calib,ba,target,ba_target,pyscope,direct,pyscope/direct,word,inner,2291,5160,-1.5037825107574463,-1.52730393409729,0.02352142333984375,0.02352142333984375,1,1,2291,1,33,"
# Question: is the v returned by f local or global? Answer:"
deepseek-coder-6.7b,base_0002,calib,ab,source,ab_source,pyscope,swapped,pyscope/swapped,word,outer,2291,5160,-1.5961781740188599,-1.3509618043899536,-0.24521636962890625,0.24521636962890625,0,1,5160,1,33,"
# Question: is the v returned by f global or local? Answer:"
deepseek-coder-6.7b,base_0002,calib,ab,target,ab_target,pyscope,swapped,pyscope/swapped,word,inner,2291,5160,-1.0951809883117676,-2.2938790321350098,1.1986980438232422,1.1986980438232422,1,1,2291,1,33,"
# Question: is the v returned by f global or local? Answer:"
deepseek-coder-6.7b,base_0002,calib,ba,source,ba_source,pyscope,swapped,pyscope/swapped,word,outer,2291,5160,-1.626349925994873,-1.332170009613037,-0.29417991638183594,0.29417991638183594,0,1,5160,1,33,"
# Question: is the v returned by f global or local? Answer:"
deepseek-coder-6.7b,base_0002,calib,ba,target,ba_target,pyscope,swapped,pyscope/swapped,word,inner,2291,5160,-1.1652487516403198,-2.156909942626953,0.9916611909866333,0.9916611909866333,1,1,2291,1,33,"
# Question: is the v returned by f global or local? Answer:"
deepseek-coder-6.7b,base_0002,calib,ab,source,ab_source,shadow,direct,shadow/direct,word,outer,5336,637,-0.8624193668365479,-1.796571969985962,0.9341526031494141,-0.9341526031494141,1,0,5336,1,34,"
# Question: is v shadowed inside f (yes/no)? Answer:"
deepseek-coder-6.7b,base_0002,calib,ab,target,ab_target,shadow,direct,shadow/direct,word,inner,5336,637,-0.7926032543182373,-1.8297336101531982,1.037130355834961,1.037130355834961,1,1,5336,1,34,"
# Question: is v shadowed inside f (yes/no)? Answer:"
deepseek-coder-6.7b,base_0002,calib,ba,source,ba_source,shadow,direct,shadow/direct,word,outer,5336,637,-0.8896539211273193,-1.797116994857788,0.9074630737304688,-0.9074630737304688,1,0,5336,1,34,"
# Question: is v shadowed inside f (yes/no)? Answer:"
deepseek-coder-6.7b,base_0002,calib,ba,target,ba_target,shadow,direct,shadow/direct,word,inner,5336,637,-0.8256812691688538,-1.8408598899841309,1.015178620815277,1.015178620815277,1,1,5336,1,34,"
# Question: is v shadowed inside f (yes/no)? Answer:"
deepseek-coder-6.7b,base_0002,calib,ab,source,ab_source,shadow,swapped,shadow/swapped,word,outer,637,5336,-1.7723369598388672,-1.1283798217773438,-0.6439571380615234,0.6439571380615234,0,1,5336,1,36,"
# Question: does f return the v from outside f (yes/no)? Answer:"
deepseek-coder-6.7b,base_0002,calib,ab,target,ab_target,shadow,swapped,shadow/swapped,word,inner,637,5336,-1.5155137777328491,-1.1788610219955444,-0.3366527557373047,-0.3366527557373047,0,0,5336,1,36,"
# Question: does f return the v from outside f (yes/no)? Answer:"
deepseek-coder-6.7b,base_0002,calib,ba,source,ba_source,shadow,swapped,shadow/swapped,word,outer,637,5336,-1.7562363147735596,-1.168128252029419,-0.5881080627441406,0.5881080627441406,0,1,5336,1,36,"
# Question: does f return the v from outside f (yes/no)? Answer:"
deepseek-coder-6.7b,base_0002,calib,ba,target,ba_target,shadow,swapped,shadow/swapped,word,inner,637,5336,-1.5219093561172485,-1.2151905298233032,-0.3067188262939453,-0.3067188262939453,0,0,5336,1,36,"
# Question: does f return the v from outside f (yes/no)? Answer:"
deepseek-coder-6.7b,base_0002,calib,ab,source,ab_source,value,direct,value/direct,value,outer,20,21,-2.60591459274292,-0.18155428767204285,-2.424360305070877,2.424360305070877,0,1,21,1,21,"
assert f() == "
deepseek-coder-6.7b,base_0002,calib,ab,target,ab_target,value,direct,value/direct,value,inner,20,21,-0.04964839667081833,-3.409719467163086,3.3600710704922676,3.3600710704922676,1,1,20,1,21,"
assert f() == "
deepseek-coder-6.7b,base_0002,calib,ba,source,ba_source,value,direct,value/direct,value,outer,21,20,-3.6277382373809814,-0.0851413831114769,-3.5425968542695045,3.5425968542695045,0,1,20,1,21,"
assert f() == "
deepseek-coder-6.7b,base_0002,calib,ba,target,ba_target,value,direct,value/direct,value,inner,21,20,-0.024397721514105797,-4.327757835388184,4.303360113874078,4.303360113874078,1,1,21,1,21,"
assert f() == "
