model,base_id,split,question,contrast,contrast_kind,n_tokens_from,n_tokens_to,same_length,n_differing_tokens,differing_indices,expected_differing,as_designed,mutation_index,differs_only_at_mutation,use_index,use_token_identical,question_identical,question_names_inner,question_names_outer
deepseek-coder-1.3b,base_0004,test,scope/direct,same_outer,same_binding,35,35,1,2,"2,11",2,1,9,0,15,1,1,0,1
deepseek-coder-1.3b,base_0004,test,scope/direct,same_inner,same_binding,35,35,1,2,"2,11",2,1,9,0,15,1,1,0,1
deepseek-coder-1.3b,base_0005,calib,scope/direct,flip_ab,binding_flip,35,35,1,1,9,1,1,9,1,15,1,1,0,1
deepseek-coder-1.3b,base_0005,calib,scope/direct,flip_ba,binding_flip,35,35,1,1,9,1,1,9,1,15,1,1,0,1
deepseek-coder-1.3b,base_0005,calib,scope/direct,same_outer,same_binding,35,35,1,2,"2,11",2,1,9,0,15,1,1,0,1
deepseek-coder-1.3b,base_0005,calib,scope/direct,same_inner,same_binding,35,35,1,2,"2,11",2,1,9,0,15,1,1,0,1
deepseek-coder-1.3b,base_0006,test,scope/direct,flip_ab,binding_flip,35,35,1,1,9,1,1,9,1,15,1,1,0,1
deepseek-coder-1.3b,base_0006,test,scope/direct,flip_ba,binding_flip,35,35,1,1,9,1,1,9,1,15,1,1,0,1
deepseek-coder-1.3b,base_0006,test,scope/direct,same_outer,same_binding,35,35,1,2,"2,11",2,1,9,0,15,1,1,0,1
deepseek-coder-1.3b,base_0006,test,scope/direct,same_inner,same_binding,35,35,1,2,"2,11",2,1,9,0,15,1,1,0,1
deepseek-coder-1.3b,base_0007,test,scope/direct,flip_ab,binding_flip,35,35,1,1,9,1,1,9,1,15,1,1,0,1
deepseek-coder-1.3b,base_0007,test,scope/direct,flip_ba,binding_flip,35,35,1,1,9,1,1,9,1,15,1,1,0,1
deepseek-coder-1.3b,base_0007,test,scope/direct,same_outer,same_binding,35,35,1,2,"2,11",2,1,9,0,15,1,1,0,1
deepseek-coder-1.3b,base_0007,test,scope/direct,same_inner,same_binding,35,35,1,2,"2,11",2,1,9,0,15,1,1,0,1
deepseek-coder-1.3b,base_0008,test,scope/direct,flip_ab,binding_flip,35,35,1,1,9,1,1,9,1,15,1,1,0,1
deepseek-coder-1.3b,base_0008,test,scope/direct,flip_ba,binding_flip,35,35,1,1,9,1,1,9,1,15,1,1,0,1
deepseek-coder-1.3b,base_0008,test,scope/direct,same_outer,same_binding,35,35,1,2,"2,11",2,1,9,0,15,1,1,0,1
deepseek-coder-1.3b,base_0008,test,scope/direct,same_inner,same_binding,35,35,1,2,"2,11",2,1,9,0,15,1,1,0,1
deepseek-coder-1.3b,base_0009,test,scope/direct,flip_ab,binding_flip,35,35,1,1,9,1,1,9,1,15,1,1,0,1
deepseek-coder-1.3b,base_0009,test,scope/direct,flip_ba,binding_flip,35,35,1,1,9,1,1,9,1,15,1,1,0,1
deepseek-coder-1.3b,base_0009,test,scope/direct,same_outer,same_binding,35,35,1,2,"2,11",2,1,9,0,15,1,1,0,1
deepseek-coder-1.3b,base_0009,test,scope/direct,same_inner,same_binding,35,35,1,2,"2,11",2,1,9,0,15,1,1,0,1
deepseek-coder-1.3b,base_0010,calib,scope/direct,flip_ab,binding_flip,35,35,1,1,9,1,1,9,1,15,1,1,0,1
deepseek-coder-1.3b,base_0010,calib,scope/direct,flip_ba,binding_flip,35,35,1,1,9,1,1,9,1,15,1,1,0,1
deepseek-coder-1.3b,base_0010,calib,scope/direct,same_outer,same_binding,35,35,1,2,"2,11",2,1,9,0,15,1,1,0,1
deepseek-coder-1.3b,base_0010,calib,scope/direct,same_inner,same_binding,35,35,1,2,"2,11",2,1,9,0,15,1,1,0,1
deepseek-coder-1.3b,base_0011,test,scope/direct,flip_ab,binding_flip,35,35,1,1,9,1,1,9,1,15,1,1,0,1
deepseek-coder-1.3b,base_0011,test,scope/direct,flip_ba,binding_flip,35,35,1,1,9,1,1,9,1,15,1,1,0,1
deepseek-coder-1.3b,base_0011,test,scope/direct,same_outer,same_binding,35,35,1,2,"2,11",2,1,9,0,15,1,1,0,1
deepseek-coder-1.3b,base_0011,test,scope/direct,same_inner,same_binding,35,35,1,2,"2,11",2,1,9,0,15,1,1,0,1
deepseek-coder-1.3b,base_0012,calib,scope/direct,flip_ab,binding_flip,35,35,1,1,9,1,1,9,1,15,1,1,0,1
deepseek-coder-1.3b,base_0012,calib,scope/direct,flip_ba,binding_flip,35,35,1,1,9,1,1,9,1,15,1,1,0,1
deepseek-coder-1.3b,base_0012,calib,scope/direct,same_outer,same_binding,35,35,1,2,"2,11",2,1,9,0,15,1,1,0,1
deepseek-coder-1.3b,base_0012,calib,scope/direct,same_inner,same_binding,35,35,1,2,"2,11",2,1,9,0,15,1,1,0,1
deepseek-coder-1.3b,base_0013,calib,scope/direct,flip_ab,binding_flip,35,35,1,1,9,1,1,9,1,15,1,1,0,1
deepseek-coder-1.3b,base_0013,calib,scope/direct,flip_ba,binding_flip,35,35,1,1,9,1,1,9,1,15,1,1,0,1
deepseek-coder-1.3b,base_0013,calib,scope/direct,same_outer,same_binding,35,35,1,2,"2,11",2,1,9,0,15,1,1,0,1
deepseek-coder-1.3b,base_0013,calib,scope/direct,same_inner,same_binding,35,35,1,2,"2,11",2,1,9,0,15,1,1,0,1
deepseek-coder-1.3b,base_0014,test,scope/direct,flip_ab,binding_flip,35,35,1,1,9,1,1,9,1,15,1,1,0,1
deepseek-coder-1.3b,base_0014,test,scope/direct,flip_ba,binding_flip,35,35,1,1,9,1,1,9,1,15,1,1,0,1
deepseek-coder-1.3b,base_0014,test,scope/direct,same_outer,same_binding,35,35,1,2,"2,11",2,1,9,0,15,1,1,0,1
deepseek-coder-1.3b,base_0014,test,scope/direct,same_inner,same_binding,35,35,1,2,"2,11",2,1,9,0,15,1,1,0,1
deepseek-coder-1.3b,base_0015,calib,scope/direct,flip_ab,binding_flip,35,35,1,1,9,1,1,9,1,15,1,1,0,1
deepseek-coder-1.3b,base_0015,calib,scope/direct,flip_ba,binding_flip,35,35,1,1,9,1,1,9,1,15,1,1,0,1
deepseek-coder-1.3b,base_0015,calib,scope/direct,same_outer,same_binding,35,35,1,2,"2,11",2,1,9,0,15,1,1,0,1
deepseek-coder-1.3b,base_0015,calib,scope/direct,same_inner,same_binding,35,35,1,2,"2,11",2,1,9,0,15,1,1,0,1
deepseek-coder-1.3b,base_0016,calib,scope/direct,flip_ab,binding_flip,35,35,1,1,9,1,1,9,1,15,1,1,0,1
deepseek-coder-1.3b,base_0016,calib,scope/direct,flip_ba,binding_flip,35,35,1,1,9,1,1,9,1,15,1,1,0,1
deepseek-coder-1.3b,base_0016,calib,scope/direct,same_outer,same_binding,35,35,1,2,"2,11",2,1,9,0,15,1,1,0,1
deepseek-coder-1.3b,base_0016,calib,scope/direct,same_inner,same_binding,35,35,1,2,"2,11",2,1,9,0,15,1,1,0,1
deepseek-coder-1.3b,base_0017,test,scope/direct,flip_ab,binding_flip,35,35,1,1,9,1,1,9,1,15,1,1,0,1
deepseek-coder-1.3b,base_0017,test,scope/direct,flip_ba,binding_flip,35,35,1,1,9,1,1,9,1,15,1,1,0,1
deepseek-coder-1.3b,base_0017,test,scope/direct,same_outer,same_binding,35,35,1,2,"2,11",2,1,9,0,15,1,1,0,1
deepseek-coder-1.3b,base_0017,test,scope/direct,same_inner,same_binding,35,35,1,2,"2,11",2,1,9,0,15,1,1,0,1
deepseek-coder-1.3b,base_0018,test,scope/direct,flip_ab,binding_flip,35,35,1,1,9,1,1,9,1,15,1,1,0,1
deepseek-coder-1.3b,base_0018,test,scope/direct,flip_ba,binding_flip,35,35,1,1,9,1,1,9,1,15,1,1,0,1
deepseek-coder-1.3b,base_0018,test,scope/direct,same_outer,same_binding,35,35,1,2,"2,11",2,1,9,0,15,1,1,0,1
deepseek-coder-1.3b,base_0018,test,scope/direct,same_inner,same_binding,35,35,1,2,"2,11",2,1,9,0,15,1,1,0,1
deepseek-coder-1.3b,base_0019,test,scope/direct,flip_ab,binding_flip,35,35,1,1,9,1,1,9,1,15,1,1,0,1
deepseek-coder-1.3b,base_0019,test,scope/direct,flip_ba,binding_flip,35,35,1,1,9,1,1,9,1,15,1,1,0,1
deepseek-coder-1.3b,base_0019,test,scope/direct,same_outer,same_binding,35,35,1,2,"2,11",2,1,9,0,15,1,1,0,1
deepseek-coder-1.3b,base_0019,test,scope/direct,same_inner,same_binding,35,35,1,2,"2,11",2,1,9,0,15,1,1,0,1
deepseek-coder-1.3b,base_0020,test,scope/direct,flip_ab,binding_flip,35,35,1,1,9,1,1,9,1,15,1,1,0,1
deepseek-coder-1.3b,base_0020,test,scope/direct,flip_ba,binding_flip,35,35,1,1,9,1,1,9,1,15,1,1,0,1
deepseek-coder-1.3b,base_0020,test,scope/direct,same_outer,same_binding,35,35,1,2,"2,11",2,1,9,0,15,1,1,0,1
deepseek-coder-1.3b,base_0020,test,scope/direct,same_inner,same_binding,35,35,1,2,"2,11",2,1,9,0,15,1,1,0,1
deepseek-coder-1.3b,base_0021,test,scope/direct,flip_ab,binding_flip,35,35,1,1,9,1,1,9,1,15,1,1,0,1
deepseek-coder-1.3b,base_0021,test,scope/direct,flip_ba,binding_flip,35,35,1,1,9,1,1,9,1,15,1,1,0,1
deepseek-coder-1.3b,base_0021,test,scope/direct,same_outer,same_binding,35,35,1,2,"2,11",2,1,9,0,15,1,1,0,1
deepseek-coder-1.3b,base_0021,test,scope/direct,same_inner,same_binding,35,35,1,2,"2,11",2,1,9,0,15,1,1,0,1
deepseek-coder-1.3b,base_0022,test,scope/direct,flip_ab,binding_flip,35,35,1,1,9,1,1,9,1,15,1,1,0,1
deepseek-coder-1.3b,base_0022,test,scope/direct,flip_ba,binding_flip,35,35,1,1,9,1,1,9,1,15,1,1,0,1
deepseek-coder-1.3b,base_0022,test,scope/direct,same_outer,same_binding,35,35,1,2,"2,11",2,1,9,0,15,1,1,0,1
deepseek-coder-1.3b,base_0022,test,scope/direct,same_inner,same_binding,35,35,1,2,"2,11",2,1,9,0,15,1,1,0,1
deepseek-coder-1.3b,base_0023,test,scope/direct,flip_ab,binding_flip,35,35,1,1,9,1,1,9,1,15,1,1,0,1
deepseek-coder-1.3b,base_0023,test,scope/direct,flip_ba,binding_flip,35,35,1,1,9,1,1,9,1,15,1,1,0,1
deepseek-coder-1.3b,base_0023,test,scope/direct,same_outer,same_binding,35,35,1,2,"2,11",2,1,9,0,15,1,1,0,1
deepseek-coder-1.3b,base_0023,test,scope/direct,same_inner,same_binding,35,35,1,2,"2,11",2,1,9,0,15,1,1,0,1
deepseek-coder-1.3b,base_0024,test,scope/direct,flip_ab,binding_flip,35,35,1,1,9,1,1,9,1,15,1,1,0,1
deepseek-coder-1.3b,base_0024,test,scope/direct,flip_ba,binding_flip,35,35,1,1,9,1,1,9,1,15,1,1,0,1
deepseek-coder-1.3b,base_0024,test,scope/direct,same_outer,same_binding,35,35,1,2,"2,11",2,1,9,0,15,1,1,0,1
deepseek-coder-1.3b,base_0024,test,scope/direct,same_inner,same_binding,35,35,1,2,"2,11",2,1,9,0,15,1,1,0,1
deepseek-coder-1.3b,base_0025,test,scope/direct,flip_ab,binding_flip,35,35,1,1,9,1,1,9,1,15,1,1,0,1
deepseek-coder-1.3b,base_0025,test,scope/direct,flip_ba,binding_flip,35,35,1,1,9,1,1,9,1,15,1,1,0,1
deepseek-coder-1.3b,base_0025,test,scope/direct,same_outer,same_binding,35,35,1,2,"2,11",2,1,9,0,15,1,1,0,1
deepseek-coder-1.3b,base_0025,test,scope/direct,same_inner,same_binding,35,35,1,2,"2,11",2,1,9,0,15,1,1,0,1
deepseek-coder-1.3b,base_0026,test,scope/direct,flip_ab,binding_flip,35,35,1,1,9,1,1,9,1,15,1,1,0,1
deepseek-coder-1.3b,base_0026,test,scope/direct,flip_ba,binding_flip,35,35,1,1,9,1,1,9,1,15,1,1,0,1
deepseek-coder-1.3b,base_0026,test,scope/direct,same_outer,same_binding,35,35,1,2,"2,11",2,1,9,0,15,1,1,0,1
deepseek-coder-1.3b,base_0026,test,scope/direct,same_inner,same_binding,35,35,1,2,"2,11",2,1,9,0,15,1,1,0,1
deepseek-coder-1.3b,base_0027,test,scope/direct,flip_ab,binding_flip,35,35,1,1,9,1,1,9,1,15,1,1,0,1
deepseek-coder-1.3b,base_0027,test,scope/direct,flip_ba,binding_flip,35,35,1,1,9,1,1,9,1,15,1,1,0,1
deepseek-coder-1.3b,base_0027,test,scope/direct,same_outer,same_binding,35,35,1,2,"2,11",2,1,9,0,15,1,1,0,1
deepseek-coder-1.3b,base_0027,test,scope/direct,same_inner,same_binding,35,35,1,2,"2,11",2,1,9,0,15,1,1,0,1
deepseek-coder-1.3b,base_0028,test,scope/direct,flip_ab,binding_flip,35,35,1,1,9,1,1,9,1,15,1,1,0,1
deepseek-coder-1.3b,base_0028,test,scope/direct,flip_ba,binding_flip,35,35,1,1,9,1,1,9,1,15,1,1,0,1
deepseek-coder-1.3b,base_0028,test,scope/direct,same_outer,same_binding,35,35,1,2,"2,11",2,1,9,0,15,1,1,0,1
deepseek-coder-1.3b,base_0028,test,scope/direct,same_inner,same_binding,35,35,1,2,"2,11",2,1,9,0,15,1,1,0,1
deepseek-coder-1.3b,base_0029,test,scope/direct,flip_ab,binding_flip,35,35,1,1,9,1,1,9,1,15,1,1,0,1
deepseek-coder-1.3b,base_0029,test,scope/direct,flip_ba,binding_flip,35,35,1,1,9,1,1,9,1,15,1,1,0,1
deepseek-coder-1.3b,base_0029,test,scope/direct,same_outer,same_binding,35,35,1,2,"2,11",2,1,9,0,15,1,1,0,1
deepseek-coder-1.3b,base_0029,test,scope/direct,same_inner,same_binding,35,35,1,2,"2,11",2,1,9,0,15,1,1,0,1
deepseek-coder-1.3b,base_0030,calib,scope/direct,flip_ab,binding_flip,35,35,1,1,9,1,1,9,1,15,1,1,0,1
deepseek-coder-1.3b,base_0030,calib,scope/direct,flip_ba,binding_flip,35,35,1,1,9,1,1,9,1,15,1,1,0,1
deepseek-coder-1.3b,base_0030,calib,scope/direct,same_outer,same_binding,35,35,1,2,"2,11",2,1,9,0,15,1,1,0,1
deepseek-coder-1.3b,base_0030,calib,scope/direct,same_inner,same_binding,35,35,1,2,"2,11",2,1,9,0,15,1,1,0,1
deepseek-coder-1.3b,base_0031,test,scope/direct,flip_ab,binding_flip,35,35,1,1,9,1,1,9,1,15,1,1,0,1
deepseek-coder-1.3b,base_0031,test,scope/direct,flip_ba,binding_flip,35,35,1,1,9,1,1,9,1,15,1,1,0,1
deepseek-coder-1.3b,base_0031,test,scope/direct,same_outer,same_binding,35,35,1,2,"2,11",2,1,9,0,15,1,1,0,1
deepseek-coder-1.3b,base_0031,test,scope/direct,same_inner,same_binding,35,35,1,2,"2,11",2,1,9,0,15,1,1,0,1
deepseek-coder-1.3b,base_0032,calib,scope/direct,flip_ab,binding_flip,35,35,1,1,9,1,1,9,1,15,1,1,0,1
deepseek-coder-1.3b,base_0032,calib,scope/direct,flip_ba,binding_flip,35,35,1,1,9,1,1,9,1,15,1,1,0,1
deepseek-coder-1.3b,base_0032,calib,scope/direct,same_outer,same_binding,35,35,1,2,"2,11",2,1,9,0,15,1,1,0,1
deepseek-coder-1.3b,base_0032,calib,scope/direct,same_inner,same_binding,35,35,1,2,"2,11",2,1,9,0,15,1,1,0,1
deepseek-coder-1.3b,base_0033,test,scope/direct,flip_ab,binding_flip,35,35,1,1,9,1,1,9,1,15,1,1,0,1
deepseek-coder-1.3b,base_0033,test,scope/direct,flip_ba,binding_flip,35,35,1,1,9,1,1,9,1,15,1,1,0,1
deepseek-coder-1.3b,base_0033,test,scope/direct,same_outer,same_binding,35,35,1,2,"2,11",2,1,9,0,15,1,1,0,1
deepseek-coder-1.3b,base_0033,test,scope/direct,same_inner,same_binding,35,35,1,2,"2,11",2,1,9,0,15,1,1,0,1
deepseek-coder-1.3b,base_0034,test,scope/direct,flip_ab,binding_flip,35,35,1,1,9,1,1,9,1,15,1,1,0,1
deepseek-coder-1.3b,base_0034,test,scope/direct,flip_ba,binding_flip,35,35,1,1,9,1,1,9,1,15,1,1,0,1
deepseek-coder-1.3b,base_0034,test,scope/direct,same_outer,same_binding,35,35,1,2,"2,11",2,1,9,0,15,1,1,0,1
deepseek-coder-1.3b,base_0034,test,scope/direct,same_inner,same_binding,35,35,1,2,"2,11",2,1,9,0,15,1,1,0,1
deepseek-coder-1.3b,base_0035,test,scope/direct,flip_ab,binding_flip,35,35,1,1,9,1,1,9,1,15,1,1,0,1
deepseek-coder-1.3b,base_0035,test,scope/direct,flip_ba,binding_flip,35,35,1,1,9,1,1,9,1,15,1,1,0,1
deepseek-coder-1.3b,base_0035,test,scope/direct,same_outer,same_binding,35,35,1,2,"2,11",2,1,9,0,15,1,1,0,1
deepseek-coder-1.3b,base_0035,test,scope/direct,same_inner,same_binding,35,35,1,2,"2,11",2,1,9,0,15,1,1,0,1
deepseek-coder-1.3b,base_0036,calib,scope/direct,flip_ab,binding_flip,35,35,1,1,9,1,1,9,1,15,1,1,0,1
deepseek-coder-1.3b,base_0036,calib,scope/direct,flip_ba,binding_flip,35,35,1,1,9,1,1,9,1,15,1,1,0,1
deepseek-coder-1.3b,base_0036,calib,scope/direct,same_outer,same_binding,35,35,1,2,"2,11",2,1,9,0,15,1,1,0,1
deepseek-coder-1.3b,base_0036,calib,scope/direct,same_inner,same_binding,35,35,1,2,"2,11",2,1,9,0,15,1,1,0,1
deepseek-coder-1.3b,base_0037,calib,scope/direct,flip_ab,binding_flip,35,35,1,1,9,1,1,9,1,15,1,1,0,1
deepseek-coder-1.3b,base_0037,calib,scope/direct,flip_ba,binding_flip,35,35,1,1,9,1,1,9,1,15,1,1,0,1
deepseek-coder-1.3b,base_0037,calib,scope/direct,same_outer,same_binding,35,35,1,2,"2,11",2,1,9,0,15,1,1,0,1
deepseek-coder-1.3b,base_0037,calib,scope/direct,same_inner,same_binding,35,35,1,2,"2,11",2,1,9,0,15,1,1,0,1
deepseek-coder-1.3b,base_0038,test,scope/direct,flip_ab,binding_flip,35,35,1,1,9,1,1,9,1,15,1,1,0,1
deepseek-coder-1.3b,base_0038,test,scope/direct,flip_ba,binding_flip,35,35,1,1,9,1,1,9,1,15,1,1,0,1
deepseek-coder-1.3b,base_0038,test,scope/direct,same_outer,same_binding,35,35,1,2,"2,11",2,1,9,0,15,1,1,0,1
deepseek-coder-1.3b,base_0038,test,scope/direct,same_inner,same_binding,35,35,1,2,"2,11",2,1,9,0,15,1,1,0,1
deepseek-coder-1.3b,base_0039,test,scope/direct,flip_ab,binding_flip,35,35,1,1,9,1,1,9,1,15,1,1,0,1
deepseek-coder-1.3b,base_0039,test,scope/direct,flip_ba,binding_flip,35,35,1,1,9,1,1,9,1,15,1,1,0,1
deepseek-coder-1.3b,base_0039,test,scope/direct,same_outer,same_binding,35,35,1,2,"2,11",2,1,9,0,15,1,1,0,1
deepseek-coder-1.3b,base_0039,test,scope/direct,same_inner,same_binding,35,35,1,2,"2,11",2,1,9,0,15,1,1,0,1
deepseek-coder-1.3b,base_0040,test,scope/direct,flip_ab,binding_flip,35,35,1,1,9,1,1,9,1,15,1,1,0,1
deepseek-coder-1.3b,base_0040,test,scope/direct,flip_ba,binding_flip,35,35,1,1,9,1,1,9,1,15,1,1,0,1
deepseek-coder-1.3b,base_0040,test,scope/direct,same_outer,same_binding,35,35,1,2,"2,11",2,1,9,0,15,1,1,0,1
deepseek-coder-1.3b,base_0040,test,scope/direct,same_inner,same_binding,35,35,1,2,"2,11",2,1,9,0,15,1,1,0,1
deepseek-coder-1.3b,base_0041,test,scope/direct,flip_ab,binding_flip,35,35,1,1,9,1,1,9,1,15,1,1,0,1
deepseek-coder-1.3b,base_0041,test,scope/direct,flip_ba,binding_flip,35,35,1,1,9,1,1,9,1,15,1,1,0,1
deepseek-coder-1.3b,base_0041,test,scope/direct,same_outer,same_binding,35,35,1,2,"2,11",2,1,9,0,15,1,1,0,1
deepseek-coder-1.3b,base_0041,test,scope/direct,same_inner,same_binding,35,35,1,2,"2,11",2,1,9,0,15,1,1,0,1
deepseek-coder-1.3b,base_0042,calib,scope/direct,flip_ab,binding_flip,35,35,1,1,9,1,1,9,1,15,1,1,0,1
deepseek-coder-1.3b,base_0042,calib,scope/direct,flip_ba,binding_flip,35,35,1,1,9,1,1,9,1,15,1,1,0,1
deepseek-coder-1.3b,base_0042,calib,scope/direct,same_outer,same_binding,35,35,1,2,"2,11",2,1,9,0,15,1,1,0,1
deepseek-coder-1.3b,base_0042,calib,scope/direct,same_inner,same_binding,35,35,1,2,"2,11",2,1,9,0,15,1,1,0,1
deepseek-coder-1.3b,base_0043,calib,scope/direct,flip_ab,binding_flip,35,35,1,1,9,1,1,9,1,15,1,1,0,1
deepseek-coder-1.3b,base_0043,calib,scope/direct,flip_ba,binding_flip,35,35,1,1,9,1,1,9,1,15,1,1,0,1
deepseek-coder-1.3b,base_0043,calib,scope/direct,same_outer,same_binding,35,35,1,2,"2,11",2,1,9,0,15,1,1,0,1
deepseek-coder-1.3b,base_0043,calib,scope/direct,same_inner,same_binding,35,35,1,2,"2,11",2,1,9,0,15,1,1,0,1
deepseek-coder-1.3b,base_0044,calib,scope/direct,flip_ab,binding_flip,35,35,1,1,9,1,1,9,1,15,1,1,0,1
deepseek-coder-1.3b,base_0044,calib,scope/direct,flip_ba,binding_flip,35,35,1,1,9,1,1,9,1,15,1,1,0,1
deepseek-coder-1.3b,base_0044,calib,scope/direct,same_outer,same_binding,35,35,1,2,"2,11",2,1,9,0,15,1,1,0,1
deepseek-coder-1.3b,base_0044,calib,scope/direct,same_inner,same_binding,35,35,1,2,"2,11",2,1,9,0,15,1,1,0,1
deepseek-coder-1.3b,base_0045,calib,scope/direct,flip_ab,binding_flip,35,35,1,1,9,1,1,9,1,15,1,1,0,1
deepseek-coder-1.3b,base_0045,calib,scope/direct,flip_ba,binding_flip,35,35,1,1,9,1,1,9,1,15,1,1,0,1
deepseek-coder-1.3b,base_0045,calib,scope/direct,same_outer,same_binding,35,35,1,2,"2,11",2,1,9,0,15,1,1,0,1
deepseek-coder-1.3b,base_0045,calib,scope/direct,same_inner,same_binding,35,35,1,2,"2,11",2,1,9,0,15,1,1,0,1
deepseek-coder-1.3b,base_0046,test,scope/direct,flip_ab,binding_flip,35,35,1,1,9,1,1,9,1,15,1,1,0,1
deepseek-coder-1.3b,base_0046,test,scope/direct,flip_ba,binding_flip,35,35,1,1,9,1,1,9,1,15,1,1,0,1
deepseek-coder-1.3b,base_0046,test,scope/direct,same_outer,same_binding,35,35,1,2,"2,11",2,1,9,0,15,1,1,0,1
deepseek-coder-1.3b,base_0046,test,scope/direct,same_inner,same_binding,35,35,1,2,"2,11",2,1,9,0,15,1,1,0,1
deepseek-coder-1.3b,base_0047,calib,scope/direct,flip_ab,binding_flip,35,35,1,1,9,1,1,9,1,15,1,1,0,1
deepseek-coder-1.3b,base_0047,calib,scope/direct,flip_ba,binding_flip,35,35,1,1,9,1,1,9,1,15,1,1,0,1
deepseek-coder-1.3b,base_0047,calib,scope/direct,same_outer,same_binding,35,35,1,2,"2,11",2,1,9,0,15,1,1,0,1
deepseek-coder-1.3b,base_0047,calib,scope/direct,same_inner,same_binding,35,35,1,2,"2,11",2,1,9,0,15,1,1,0,1
deepseek-coder-1.3b,base_0048,test,scope/direct,flip_ab,binding_flip,35,35,1,1,9,1,1,9,1,15,1,1,0,1
deepseek-coder-1.3b,base_0048,test,scope/direct,flip_ba,binding_flip,35,35,1,1,9,1,1,9,1,15,1,1,0,1
deepseek-coder-1.3b,base_0048,test,scope/direct,same_outer,same_binding,35,35,1,2,"2,11",2,1,9,0,15,1,1,0,1
deepseek-coder-1.3b,base_0048,test,scope/direct,same_inner,same_binding,35,35,1,2,"2,11",2,1,9,0,15,1,1,0,1
deepseek-coder-1.3b,base_0049,test,scope/direct,flip_ab,binding_flip,35,35,1,1,9,1,1,9,1,15,1,1,0,1
deepseek-coder-1.3b,base_0049,test,scope/direct,flip_ba,binding_flip,35,35,1,1,9,1,1,9,1,15,1,1,0,1
deepseek-coder-1.3b,base_0049,test,scope/direct,same_outer,same_binding,35,35,1,2,"2,11",2,1,9,0,15,1,1,0,1
deepseek-coder-1.3b,base_0049,test,scope/direct,same_inner,same_binding,35,35,1,2,"2,11",2,1,9,0,15,1,1,0,1
deepseek-coder-1.3b,base_0050,test,scope/direct,flip_ab,binding_flip,35,35,1,1,9,1,1,9,1,15,1,1,0,1
deepseek-coder-1.3b,base_0050,test,scope/direct,flip_ba,binding_flip,35,35,1,1,9,1,1,9,1,15,1,1,0,1
deepseek-coder-1.3b,base_0050,test,scope/direct,same_outer,same_binding,35,35,1,2,"2,11",2,1,9,0,15,1,1,0,1
deepseek-coder-1.3b,base_0050,test,scope/direct,same_inner,same_binding,35,35,1,2,"2,11",2,1,9,0,15,1,1,0,1
deepseek-coder-1.3b,base_0051,test,scope/direct,flip_ab,binding_flip,35,35,1,1,9,1,1,9,1,15,1,1,0,1
deepseek-coder-1.3b,base_0051,test,scope/direct,flip_ba,binding_flip,35,35,1,1,9,1,1,9,1,15,1,1,0,1
